전법명,분류,습득,효과,수치,대상,범위,사거리,쿨타임,거점공격,의존능력,출처,비고
진천동지,공격,고유(서영),적에게 피해를 주고 기동력을 낮춤,피해 위력15 / 적 기동저하 위력5·7일,단일,,확인불가,18,X,무력,https://namu.wiki/w/%EC%82%BC%EA%B5%AD%EC%A7%80%2014/%EB%AC%B4%EC%9E%A5,
공구역격,공격,고유(제갈탄),적에게 피해를 주고 아군 사기를 올림,피해 위력15 / 아군 사기상승 위력18,아군+적,,확인불가,18,X,무력,https://namu.wiki/w/%EC%82%BC%EA%B5%AD%EC%A7%80%2014/%EB%AC%B4%EC%9E%A5,
충렬지귀,계략,고유(심배),적에게 저지를 부여하고 공성력을 낮춤,저지부여·6일 / 적 공성저하 위력5·7일,단일,,확인불가,18,X,지력,https://namu.wiki/w/%EC%82%BC%EA%B5%AD%EC%A7%80%2014/%EB%AC%B4%EC%9E%A5,
활살자재,계략,고유(조비),적 전능력을 낮추고 아군 사기를 올림,적 전능력저하 위력10·7일 / 아군 사기상승 위력18,아군+적,,확인불가,18,X,지력,https://namu.wiki/w/%EC%82%BC%EA%B5%AD%EC%A7%80%2014/%EB%AC%B4%EC%9E%A5,
변환요격,공격,고유(장수),적에게 피해를 주고 아군 기동력을 올림,피해 위력15 / 아군 기동상승 위력2·10일,아군+적,,확인불가,18,X,무력,https://namu.wiki/w/%EC%82%BC%EA%B5%AD%EC%A7%80%2014/%EB%AC%B4%EC%9E%A5,
중황태을,계략,고유(장보),적 전능력과 사기를 낮춤,적 전능력저하 위력5·7일 / 적 사기저하 위력5,단일,,확인불가,18,O,지력,https://namu.wiki/w/%EC%82%BC%EA%B5%AD%EC%A7%80%2014/%EB%AC%B4%EC%9E%A5,
만법귀일,지원,고유(장로),아군 상태이상을 해소하고 부상병을 회복시킴,상태이상해소(2칸광역) / 부상병회복 위력17,아군(광역),,확인불가,18,X,지력,https://namu.wiki/w/%EC%82%BC%EA%B5%AD%EC%A7%80%2014/%EB%AC%B4%EC%9E%A5,
혼수모어,계략,고유(진등),적에게 혼란과 저지를 부여함,혼란부여·5일 / 저지부여·4일,단일,,확인불가,18,X,지력,https://namu.wiki/w/%EC%82%BC%EA%B5%AD%EC%A7%80%2014/%EB%AC%B4%EC%9E%A5,
십면매복,계략,고유(정욱),아군 방어력을 올리고 적 사기를 낮춤,아군 방어상승 위력5·10일(1칸광역) / 적 사기저하 위력10,아군+적,,확인불가,18,X,지력,https://namu.wiki/w/%EC%82%BC%EA%B5%AD%EC%A7%80%2014/%EB%AC%B4%EC%9E%A5,
규략명련,계략,고유(전예),아군 상태이상을 해소하고 사기를 올림,상태이상해소(2칸광역) / 아군 사기상승 위력18,아군(광역),,확인불가,18,X,지력,https://namu.wiki/w/%EC%82%BC%EA%B5%AD%EC%A7%80%2014/%EB%AC%B4%EC%9E%A5,
파죽지세,공격(제압),고유(두예),아군 공격력과 기동력을 올림,아군 공군상승 위력10·10일 / 아군 기동상승 위력2·10일(1칸광역),자신,,확인불가,18,X,지력,https://namu.wiki/w/%EC%82%BC%EA%B5%AD%EC%A7%80%2014/%EB%AC%B4%EC%9E%A5,
재기환발,계략,고유(마속),적에게 도발을 부여하고 아군 사기를 올림,도발부여·2일(1칸광역) / 아군 사기상승 위력18,아군+적,,확인불가,18,X,지력,https://namu.wiki/w/%EC%82%BC%EA%B5%AD%EC%A7%80%2014/%EB%AC%B4%EC%9E%A5,
만마분등,공격,고유(마등),적에게 피해를 주고 아군 기동력을 올림,피해 위력10(1칸광역) / 아군 기동상승 위력2·10일,아군+적,,확인불가,18,X,무력,https://namu.wiki/w/%EC%82%BC%EA%B5%AD%EC%A7%80%2014/%EB%AC%B4%EC%9E%A5,
위무경문,지원,고유(양호),아군 사기와 공격력을 올림,아군 사기상승 위력15(1칸광역) / 아군 공군상승 위력5·10일,아군(광역),,확인불가,18,X,지력,https://namu.wiki/w/%EC%82%BC%EA%B5%AD%EC%A7%80%2014/%EB%AC%B4%EC%9E%A5,
천지통찰,지원,고유(육항),아군 사기와 방어력을 올림,아군 사기상승 위력15(1칸광역) / 아군 방어상승 위력5·10일,아군(광역),,확인불가,18,X,지력,https://namu.wiki/w/%EC%82%BC%EA%B5%AD%EC%A7%80%2014/%EB%AC%B4%EC%9E%A5,
부전굴적,지원,고유(유우),아군 사기를 올리고 적 사기를 낮춤,아군 사기상승 위력18 / 적 사기저하 위력15,아군+적,,확인불가,18,X,지력,https://namu.wiki/w/%EC%82%BC%EA%B5%AD%EC%A7%80%2014/%EB%AC%B4%EC%9E%A5,
천의무봉,지원,고유(유선),적 사기를 낮추고 부상병을 회복시킴,적 사기저하 위력10(1칸광역) / 부상병회복 위력14(1칸광역),아군+적,,확인불가,18,O,지력,https://namu.wiki/w/%EC%82%BC%EA%B5%AD%EC%A7%80%2014/%EB%AC%B4%EC%9E%A5,
팔준지예,공격(제압),고유(유표),부상병을 회복시키고 아군 방어력을 올림,부상병회복 위력17 / 아군 방어상승 위력5·10일,아군(광역),,확인불가,18,X,지력,https://namu.wiki/w/%EC%82%BC%EA%B5%AD%EC%A7%80%2014/%EB%AC%B4%EC%9E%A5,
이일대로,계략,고유(노식),아군 전능력을 올리고 적 사기를 낮춤,아군 전능력상승 위력10·10일 / 적 사기저하 위력15,아군+적,,확인불가,18,X,지력,https://namu.wiki/w/%EC%82%BC%EA%B5%AD%EC%A7%80%2014/%EB%AC%B4%EC%9E%A5,
